Subject,Filename,Age,Gender,Race
sub01,EP02_01f,2,0,2
sub02,EP01_11f,1,1,2
sub03,EP19_08,1,1,2
sub04,EP12_01f,1,1,2
sub05,EP02_07,0,1,2
sub06,EP01_01,2,0,2
sub07,EP08_02,2,1,2
sub08,EP12_07f,2,0,2
sub09,EP02_01f,1,1,2
sub10,EP06_01f,1,0,2
sub11,EP02_06f,1,1,2
sub12,EP01_02,1,1,2
sub13,EP01_02,2,0,2
sub14,EP04_04f,3,0,2
sub15,EP03_02,1,1,2
sub16,EP01_05,2,0,2
sub17,EP01_06,1,1,2
sub18,EP08_01,1,1,2
sub19,EP01_01f,2,0,2
sub20,EP01_03,1,1,2
sub21,EP01_07,1,1,2
sub22,EP01_12,1,1,2
sub23,EP03_14f,3,0,2
sub24,EP01_08,1,0,2
sub25,EP03_02,1,0,2
sub26,EP03_10,1,1,2
