Subject,Filename,Age,Gender,Race
6,006_1_2,2,0,0
7,007_3_1,2,0,0
9,009_2_1,2,1,0
10,010_2_1,3,1,0
11,011_1_4,1,1,0
12,012_3_1,2,1,4
13,013_1_10,3,0,0
14,014_1_1,3,1,0
15,015_5_1,3,1,0
16,016_7_1,5,1,0
17,017_3_1,4,0,4
18,018_1_4,6,1,0
19,019_3_2,4,0,0
20,020_1_1,1,1,0
21,021_7_1,3,0,0
22,022_2_3,3,1,0
23,023_1_1,5,1,0
24,024_2_1,2,0,4
25,025_4_1,2,0,2
26,026_1_1,3,0,2
28,028_4_1,1,0,2
30,030_5_1,4,1,1
31,031_3_1,1,0,1
32,032_3_3,3,0,3
33,033_1_3,2,1,2
34,034_7_3,4,1,4
35,035_1_1,4,1,2
36,036_7_3,3,0,3
37,037_4_1,3,0,2
